id,title,brand,price,old_price,weight
248,"Ample N Acne Shot  Ampoule, 30ml",17,1400,1500,30ml
249,"Ample N Hyaluronshot Ampoule, 30ml",17,1100,1200,30ml
250,"AMPLE N VC Shot Ampoule, 30ml",17,1500,1600,30ml
251,"Clean it Zero Cleansing Balm Original (new),100ml",18,1600,1700,100ml
252,"COSRX AHA/BHA CLARIFYING TREATMENT TONER , 150ml",19,1200,1300,150ml
253,"COSRX BHA BLACKHEAD POWER LIQUID, 100ml",19,1500,1600,100ml
254,"COSRX Low pH Good Morning Gel Cleanser, 150ml",19,1100,1200,150ml
255,"COSRX Ultimate Moisturizing Honey Overnight Mask (Renew), 60ml",19,1300,1400,60ml
256,"COSRX Galactomyces 95 Tone Balancing Essence, 100ml",19,1600,1700,100ml
257,"BRIGHT COMPLEX INTENCE NOURSHING SHAMPOO, 100ml",20,650,750,100ml
258,"CP-1 ANTI HAIRLOSS SCALP INFUSION SHAMPOO, 250ml",20,1300,1400,250ml
259,"Intensive Long Lasting Sunscreen SPF50+ PA++++, 50ml",21,1300,1400,50ml
260,"Intensive Triple Care Sunscreen, 50ml",21,1300,1400,50ml
261,"No sebum Mineral powder,5g",21,500,600,5g
262,"all around safe block soft finish sun milk, 70ml",23,1300,1400,70ml
263,"Some BY Mi Galactomyces Vitamin C Serum, 30ml",26,1280,1700,30ml
264,"Innisfree foot scrub wash, 100ml",21,850,1200,100ml
265,"innisfree foot spray, 100ml",21,850,1200,100ml
266,"Innisfree jeju volcanic pore cleansing foam, 150ml",21,1180,1400,150ml
267,"Innisfree jeju volcanic color clay mask hydrating, 70ml",21,1050,1300,70ml
268,"Innisfree jeju volcanic color clay mask purifying, 70ml",21,1050,1300,70ml
269,"Innisfree perfect fresh heel tok gel cream, 30ml",21,750,1000,30ml
270,"Innisfree super volcanic stick mask 2X, 27g",21,1150,1400,27g
271,"Innisfree white pore facial cleanser, 150ml",21,1280,1400,150ml
272,"MISSHA flash up sun SPF50+, 50ml",23,1180,1300,50ml
273,"Time Revolution The First Treatment Essence Rx New, 150ml",23,2750,2850,150ml
274,"Black sugar mask wash off, 100g",25,750,850,100g
275,"Black Sugar Perfect First Serum2X Light (skin-brightening and Anti-wrinkle Effects), 120 ml",25,2100,2200,120ml
276,"Egg White Perfect Pore Cleansing Foam, 150ml",25,900,1000,150ml
277,"Egg white pore Mask, 100g",25,850,950,100g
278,Premium Tomato Whitening Essence 50g,25,1500,1600,50g
279,"Yuja Water C Whitening ampoule in serum 2X, 50ml",25,1700,1800,50ml
280,"Rice Mask Wash Off, 100g",25,900,1000,100g
281,"AHA.BHA.PHA 30 Days Miracle Cream, 60ml",26,1500,1600,60ml
282,"AHA.BHA.PHA 30 Days Miracle Serum, 50ml",26,1400,1500,50ml
283,"AHA.BHA.PHA 30 Days Miracle Toner, 150ml",26,1400,1500,150ml
284,Snail Truecica Miracle Repair Serum 50ml,26,1800,1900,50ml
285,V10 Vitamin Tone-Up Cream 50ml,26,1350,1450,50ml
286,AHA.BHA.PHA 14DAYS Super miracle Spot All Kill Cream,26,1250,1350,30ml
287,"AHA.BHA.PHA 30 Days Miracle Foam, 100ml",26,1250,1350,100ml
288,Snail Truecica Miracle Repair Toner 135ml,26,1600,1700,135ml
289,YUJA NIACIN 30DAYS BLEMISH CARE SERUM 50ML,26,1400,1500,50ml
290,Cleansing Light Oil (2019) 150ml,27,1300,1400,150ml
291,"Innisfree loss care scalp scaler, 45ml",21,1250,1400,45ml
292,"Missha perfect cover BB cream shade no 23, 50g",23,1350,1500,50g
